"","x"
"1040","PLSCR1"
"1041","GYG1"
"1042","HLTF"
"1043","TM4SF1"
"1044","WWTR1"
"1045","COMMD2"
"1046","RNF13"
"1047","PFN2"
"1048","SERP1"
"1049","EIF2A"
"1050","SELT"
"1051","SIAH2"
"1052","MBNL1"
"1053","DHX36"
"1054","GMPS"
"1055","SSR3"
"1056","TIPARP"
"1057","CCNL1"
"1058","RSRC1"
"1059","MLF1"
"1060","GFM1"
"1061","LXN"
"1062","MFSD1"
"1063","SMC4"
"1064","KPNA4"
"1065","NMD3"
"1066","PDCD10"
"1067","SEC62"
"1068","RPL22L1"
"1069","EIF5A2"
"1070","NCEH1"
"1071","ECT2"
"1072","TBL1XR1"
"1073","ZNF639"
"1074","ACTL6A"
"1075","MRPL47"
"1076","NDUFB5"
"1077","FXR1"
"1078","DNAJC19"
"1079","PARL"
"1080","EIF2B5"
"1081","AP2M1"
"1082","ALG3"
"1083","ECE2"
"1084","PSMD2"
"1085","EIF4G1"
"1086","POLR2H"
"1087","MAGEF1"
"1088","MAP3K13"
"1089","TMEM41A"
"1090","IGF2BP2"
"1091","TRA2B"
"1092","DNAJB11"
"1093","EIF4A2"
"1094","RFC4"
"1095","LPP"
"1096","CCDC50"
"1097","HES1"
"1098","PPP1R2"
"1099","LINC00969"
"1100","TFRC"
"1101","TCTEX1D2"
"1102","PIGX"
"1103","PAK2"
"1104","NCBP2"
"1105","NCBP2-AS2"
"1106","DLG1"
"1107","BDH1"
"1108","FYTTD1"
"1109","RPL35A"
"1110","ATP5I"
"1111","PCGF3"
"1112","CTBP1"
"1113","MAEA"
"1114","SLBP"
"1115","TMEM129"
"1116","TACC3"
"1117","LETM1"
"1118","WHSC1"
"1119","NELFA"
"1120","C4orf48"
"1121","MXD4"
"1122","RNF4"
"1123","TNIP2"
"1124","ADD1"
"1125","MFSD10"
"1126","LRPAP1"
"1127","TMEM128"
"1128","LYAR"
"1129","STX18"
"1130","MRFAP1"
"1131","AC093323.3"
"1132","MRFAP1L1"
"1133","BLOC1S4"
"1134","GRPEL1"
"1135","WDR1"
"1136","RAB28"
"1137","BOD1L1"
"1138","FAM200B"
"1139","QDPR"
"1140","LAP3"
"1141","MED28"
"1142","NCAPG"
"1143","DHX15"
"1144","SMIM20"
"1145","RBPJ"
"1146","PGM2"
"1147","KLF3"
"1148","FAM114A1"
"1149","KLHL5"
"1150","RFC1"
"1151","RPL9"
"1152","UGDH"
"1153","SMIM14"
"1154","UBE2K"
"1155","PDS5A"
"1156","TMEM33"
"1157","SLC30A9"
"1158","COMMD8"
"1159","NFXL1"
"1160","OCIAD1"
"1161","OCIAD2"
"1162","SGCB"
"1163","FIP1L1"
"1164","SRD5A3"
"1165","TMEM165"
"1166","PPAT"
"1167","PAICS"
"1168","SRP72"
"1169","REST"
"1170","NOA1"
"1171","YTHDC1"
"1172","UTP3"
"1173","GRSF1"
"1174","DCK"
"1175","MTHFD2L"
"1176","RCHY1"
"1177","SDAD1"
"1178","NUP54"
"1179","SCARB2"
"1180","CCNI"
"1181","MRPL1"
"1182","HNRNPD"
"1183","HNRNPDL"
"1184","ENOPH1"
"1185","THAP9-AS1"
"1186","COPS4"
"1187","COQ2"
"1188","MRPS18C"
"1189","HSD17B11"
"1190","NUDT9"
"1191","PYURF"
"1192","PDLIM5"
"1193","EIF4E"
"1194","METAP1"
"1195","ADH5"
"1196","H2AFZ"
"1197","SLC39A8"
"1198","UBE2D3"
"1199","CISD2"
"1200","CENPE"
"1201","PPA2"
"1202","AIMP1"
"1203","HADH"
"1204","RPL34"
"1205","OSTC"
"1206","CCDC109B"
"1207","CASP6"
"1208","PLA2G12A"
"1209","GAR1"
"1210","C4orf32"
"1211","LARP7"
"1212","SNHG8"
"1213","C4orf3"
"1214","MAD2L1"
